Positive Prompt,
------,------
G-bright,"a bright photo of the {prompt},"
G-CloseUp,"a close-up photo of {prompt},"
G-Cropped,"a cropped photo of {prompt},"
G-Dark,"a dark photo of the {prompt},"
G-Good,"a good photo of {prompt},"
G-Photo,"a photo of {prompt},"
G-Render,"a rendering of {prompt},"
G-Rendetion,"a rendition of {prompt},"
G-ThePhoto,"the photo of {prompt},"
------,------
Action,"An Action scene {prompt},"
Adventure,"An Adventure scene {prompt},"
Bright and vibrant,"A Bright and vibrant capture {prompt},"
Dark and moody,"A Dark and moody snapshot {prompt},"
Documentary,"A Documentary photo {prompt},"
Fantasy,"A Fantasy shot {prompt},"
Historical,"A Historical image {prompt},"
Horror,"A Horror photograph {prompt},"
Mystical,"A Mystical picture {prompt},"
Romantic,"A Romantic photo {prompt},"
Rustic,"A Rustic shot {prompt},"
------,------
Aerial Shots,"An Aerial Shots capture {prompt},"
Cinematic,"A Cinematic photograph {prompt},"
Event,"An Event snapshot {prompt},"
Fashion,"A Fashion shot {prompt},"
General,"A General photo {prompt},"
Landscape,"A Breathtaking Landscape {prompt},"
Nostalgic Style,"A Nostalgic Style capture {prompt},"
Portrait,"A Stunning Portrait {prompt},"
Portraiture,"A Captivating Portraiture {prompt},"
Product,"An Artistic Product shot {prompt},"
Sports,"An Energetic Sports capture {prompt},"
Street,"A Vivid Street photo {prompt},"
Vintage Film,"A Vintage Film-inspired shot {prompt},"
Wildlife,A Wildlife snapshot {prompt}
